id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,Corkery Group,Italian Cuisine,medium,Hell's Kitchen,18,2.7,false
2,Mills LLC,Italian Cuisine,medium,Chinatown,23,4.0,true
3,Veum-Batz,French Cuisine,expensive,West Village,19,2.5,false
4,"Smitham, Lubowitz and Ondricka",Spanish Cuisine,medium,Chelsea,16,0.9,false
5,Dickens-Ondricka,Mediterranean Cuisine,medium,Hell's Kitchen,17,2.8,false
6,"Lueilwitz, Kessler and Jaskolski",Indian Cuisine,expensive,Lower East Side,14,2.6,false
7,"Abernathy, Rowe and Gleason",Greek Cuisine,expensive,West Village,16,2.8,false
8,Little-Koepp,Italian Cuisine,cheap,Battery Park City,15,0.5,false
9,Weber LLC,Indian Cuisine,medium,Battery Park City,18,1.0,true
10,Moen and Sons,French Cuisine,expensive,Financial District,14,3.9,true
11,Reichert Group,Mediterranean Cuisine,expensive,Battery Park City,24,3.8,true
12,Kuhlman Group,Japanese Cuisine,cheap,Chinatown,24,2.6,false
13,"Ritchie, Ebert and Pollich",Greek Cuisine,medium,Hudson Yards,22,3.3,false
14,Moen-Tremblay,Italian Cuisine,cheap,Chinatown,17,0.2,true
15,"Okuneva, Hermann and Windler",Chinese Cuisine,cheap,Lower East Side,19,2.7,true
16,VonRueden-Langosh,Greek Cuisine,expensive,Tribeca,15,2.9,true
17,Gibson and Sons,French Cuisine,expensive,Lower East Side,18,3.4,true
18,Graham LLC,French Cuisine,medium,Battery Park City,24,2.9,true
19,"Romaguera, Gibson and Lemke",Mediterranean Cuisine,expensive,West Village,16,4.7,false
20,"Bauch, Nicolas and Kuvalis",French Cuisine,medium,Chinatown,22,2.2,false
21,Lemke Group,Italian Cuisine,cheap,Hell's Kitchen,19,3.8,false
22,Von and Sons,French Cuisine,cheap,West Village,23,2.2,false
23,Zieme-Bogan,French Cuisine,cheap,Battery Park City,18,5.0,true
24,"Daugherty, Wilkinson and Kling",Mediterranean Cuisine,medium,Financial District,24,3.8,false
25,Hayes-Hoppe,Greek Cuisine,medium,Hell's Kitchen,21,0.9,false
26,"Wolf, Wisozk and Daugherty",Italian Cuisine,cheap,Tribeca,17,4.9,true
27,"Howe, Nitzsche and Kuhic",Spanish Cuisine,cheap,NoHo,21,1.1,true
28,Nitzsche-Franecki,Italian Cuisine,medium,Battery Park City,21,4.9,true
29,Treutel-Hagenes,Greek Cuisine,cheap,Hudson Yards,22,3.5,false
30,Heathcote-Hudson,French Cuisine,expensive,Financial District,16,3.7,false
31,Braun-Hammes,Chinese Cuisine,medium,Lower East Side,21,1.5,true
32,"White, Crooks and O'Kon",Italian Cuisine,expensive,Battery Park City,23,0.1,false
33,"Johnson, Schowalter and Nienow",Mediterranean Cuisine,expensive,Tribeca,23,4.5,false
34,Schoen Group,Greek Cuisine,expensive,Clinton,14,3.0,true
35,"Morissette, Flatley and Brown",Mediterranean Cuisine,expensive,Greenwich Village,20,2.4,false
36,"Lebsack, D'Amore and Price",French Cuisine,medium,SoHo,18,1.1,false
37,Howell and Sons,French Cuisine,cheap,West Village,15,1.2,false
38,Purdy Group,French Cuisine,expensive,Little Italy,18,1.1,true
39,Koepp LLC,Italian Cuisine,expensive,Clinton,15,1.4,true
40,"Paucek, Cormier and Sporer",Spanish Cuisine,expensive,Hudson Yards,15,4.5,true
41,"Blanda, Bode and Rolfson",Greek Cuisine,medium,West Village,16,4.3,false
42,Pacocha Inc,Italian Cuisine,expensive,NoHo,20,0.7,false
43,Lockman Group,Spanish Cuisine,cheap,Clinton,14,4.0,true
44,Ondricka Inc,Japanese Cuisine,expensive,Tribeca,14,0.0,true
45,Upton-Harvey,Italian Cuisine,cheap,NoHo,17,2.0,true
46,Metz and Sons,Chinese Cuisine,expensive,Clinton,22,0.9,true
47,Windler LLC,Greek Cuisine,expensive,Chinatown,19,3.8,true
48,"Kshlerin, Graham and Jakubowski",French Cuisine,expensive,Lower East Side,14,3.8,true
49,"Schumm, Auer and Hahn",French Cuisine,expensive,Greenwich Village,17,0.2,false
50,Ziemann-Nikolaus,Japanese Cuisine,cheap,Hudson Yards,21,2.9,true
51,Hegmann Inc,Indian Cuisine,cheap,SoHo,18,0.6,false
52,Nader-Reilly,Japanese Cuisine,cheap,Clinton,16,1.1,false
53,Braun and Sons,Indian Cuisine,medium,Little Italy,17,3.2,true
54,Kuphal Group,Chinese Cuisine,expensive,Clinton,17,0.6,false
55,King and Sons,Mediterranean Cuisine,cheap,Hell's Kitchen,18,4.9,true
56,"Pfannerstill, Bergnaum and Stanton",Spanish Cuisine,medium,Chinatown,20,2.2,false
57,"Lockman, Schulist and Murazik",Indian Cuisine,medium,Clinton,21,4.9,true
58,Wisoky-Ziemann,Mediterranean Cuisine,expensive,Hell's Kitchen,15,1.7,true
59,"Parisian, Erdman and Schamberger",Chinese Cuisine,expensive,Hudson Yards,24,4.7,false
60,McLaughlin and Sons,Mediterranean Cuisine,expensive,NoHo,24,1.0,false
61,"Kovacek, Osinski and Zboncak",Italian Cuisine,cheap,Hudson Yards,16,2.6,true
62,Marks-Bogisich,Chinese Cuisine,expensive,NoHo,19,0.3,false
63,"Hickle, Botsford and Gusikowski",Mediterranean Cuisine,medium,Hudson Yards,24,1.1,false
64,Veum and Sons,Indian Cuisine,cheap,Chinatown,18,2.1,true
